bigram,log_odds_ratio
give negative,-1.293
like series,-1.293
wait weeks,-1.293
sesame street,-1.293
bad part,-1.293
refrigerator water,-1.293
get connect,-1.293
almost seems,-1.293
enough never,-1.293
ring security,-1.293
grams sugar,-1.293
think reading,-1.293
unable resolve,-1.293
use around,-1.293
let begin,-1.293
finally figured,-1.293
idea good,-1.293
take risk,-1.293
area would,-1.293
think got,-1.293
cotton polyester,-1.293
mean one,-1.293
second generation,-1.293
anything got,-1.293
thinking going,-1.293
years left,-1.293
book bad,-1.293
told would,-1.2708
easy fix,-1.265
wanted buy,-1.265
bad batch,-1.2552
waste money,-1.2535
could least,-1.2351
even said,-1.2351
purchase amazon,-1.2351
wasting time,-1.235
cards amazon,-1.235
amazon sent,-1.235
one said,-1.235
get quality,-1.235
really disappointed,-1.235
new box,-1.235
read another,-1.2138
buy gift,-1.1992
thinking would,-1.1916
quality control,-1.1883
amazon customer,-1.1682
bad buy,-1.1681
book talks,-1.1681
better read,-1.1681
gift tell,-1.1681
great however,-1.1681
would accept,-1.1681
elastic straps,-1.1681
weeks back,-1.1681
covered plastic,-1.1681
without applying,-1.1681
accidentally bought,-1.1681
want bright,-1.1681
like bad,-1.1681
product picture,-1.1681
time something,-1.1681
page says,-1.1681
amazon allows,-1.1681
nights reading,-1.1681
normal thing,-1.1681
work correctly,-1.1681
things got,-1.1681
four corners,-1.1681
week need,-1.1681
amazon actually,-1.1681
wifi similar,-1.1681
past christmas,-1.1681
fall ever,-1.1681
know two,-1.1681
water filtered,-1.1681
indoor cam,-1.1681
color matched,-1.1681
silver plated,-1.1681
week got,-1.1681
book talk,-1.1681
would longer,-1.1681
might improve,-1.1681
know purchase,-1.1681
star received,-1.1681
experience goes,-1.1681
times also,-1.1681
easily done,-1.1681
access camera,-1.1681
also fact,-1.1681
buy best,-1.1681
new batteries,-1.1681
control pills,-1.1681
throw trash,-1.1681
kind story,-1.1681
took extra,-1.1681
reason star,-1.1681
use waste,-1.1681
try liked,-1.1681
haha even,-1.1681
water beading,-1.1681
though even,-1.1681
hours first,-1.1681
drink several,-1.1681
plot one,-1.1681
love blink,-1.1681
ring cam,-1.1681
seem made,-1.1681
bottle comes,-1.1681
card sitting,-1.1681
sitting back,-1.1681
year two,-1.1681
box even,-1.1681
making sense,-1.1681
gift know,-1.1681
update sent,-1.1681
cheaper looking,-1.1681
drive store,-1.1681
sub par,-1.1681
strong woman,-1.1681
job great,-1.1681
talk someone,-1.1681
enter credit,-1.1681
products would,-1.1681
first everything,-1.1681
pouring vegetable,-1.1681
money next,-1.1681
returned amazon,-1.1681
showed negative,-1.1681
story seem,-1.1681
find plastic,-1.1681
new clothes,-1.1681
odd shape,-1.1681
flick top,-1.1681
diapers pampers,-1.1681
next purchase,-1.1681
netgear orbi,-1.1681
significant amount,-1.1681
network settings,-1.1681
terrible product,-1.1681
old ordered,-1.1681
sure received,-1.1681
give amazon,-1.1681
get smell,-1.1681
contacted amazon,-1.1681
change update,-1.1681
accidental purchase,-1.1681
keep going,-1.1681
made cheap,-1.1681
bait stations,-1.1681
apps available,-1.1681
working weeks,-1.1681
find matter,-1.1681
company like,-1.1681
online came,-1.1681
muffin tin,-1.1681
caught fruit,-1.1681
mean even,-1.1681
want standard,-1.1681
would replace,-1.1681
get play,-1.1681
playing want,-1.1681
kind girl,-1.1681
weird know,-1.1681
people turn,-1.1681
battery dies,-1.1681
hour refill,-1.1681
gen fire,-1.1681
anything touches,-1.1681
quality time,-1.1681
refurbished one,-1.1681
began feel,-1.1681
find anywhere,-1.1681
norton website,-1.1681
received bad,-1.1681
something called,-1.1681
books seriously,-1.1681
bosch icon,-1.1681
bought reviews,-1.1681
enthusiast love,-1.1681
said hard,-1.1681
far far,-1.1681
old metal,-1.1681
different seller,-1.1681
hear someone,-1.1681
author decided,-1.1681
filters also,-1.1681
tried download,-1.1681
subscription fee,-1.1681
unplugging plugging,-1.1681
say try,-1.1681
beginning story,-1.1681
months also,-1.1681
paid subscription,-1.1681
everything seemed,-1.1681
cringe worthy,-1.1681
one showed,-1.1681
time taken,-1.1681
dog also,-1.1681
sandisk ultra,-1.1681
like problems,-1.1681
money purchase,-1.1681
every category,-1.1681
gift really,-1.1681
knew book,-1.1681
going months,-1.1681
toward end,-1.1681
ran away,-1.1681
company said,-1.1681
really meant,-1.1681
customer care,-1.1681
soon realized,-1.1681
proctor gamble,-1.1681
need say,-1.1681
actually write,-1.1681
online find,-1.1681
problem going,-1.1681
anywhere without,-1.1681
hair salon,-1.1681
even well,-1.1681
want amazon,-1.1681
series story,-1.1681
much worse,-1.1681
significantly lighter,-1.1681
products something,-1.1681
also tell,-1.1681
way ahead,-1.1681
story always,-1.1681
know cards,-1.1681
without subscription,-1.1681
card still,-1.1681
tried use,-1.1681
better buying,-1.1681
thought good,-1.1681
tennis ball,-1.1681
oddly enough,-1.1681
fact set,-1.1681
went cheap,-1.1681
opened first,-1.1681
events happened,-1.1681
saying trying,-1.1681
get thing,-1.1681
husband lbs,-1.1681
back part,-1.1681
litter amazon,-1.1681
called since,-1.1681
home security,-1.1681
quality different,-1.1681
cord past,-1.1681
amazon would,-1.1681
anything remotely,-1.1681
would times,-1.1681
purchased installed,-1.1681
cheap feeling,-1.1681
even darker,-1.1681
read chapters,-1.1681
would bought,-1.1681
good person,-1.1681
fell flat,-1.1681
going getting,-1.1681
quality compared,-1.1681
game based,-1.1681
york times,-1.1681
expect great,-1.1681
given reviews,-1.1681
way different,-1.1681
device bigger,-1.1681
tell first,-1.1681
told needed,-1.1681
item description,-1.1681
wonder would,-1.1681
problems always,-1.1681
bank account,-1.1681
one says,-1.1681
frustrating experience,-1.1681
product disappointed,-1.1681
inside home,-1.1681
read may,-1.1681
never lies,-1.1681
bought hoping,-1.1681
suck air,-1.1681
get hooked,-1.1681
job got,-1.1681
sure end,-1.1681
purchase gift,-1.1681
possibly even,-1.1681
sound set,-1.1681
device change,-1.1681
end onto,-1.1681
dropped ball,-1.1681
help product,-1.1681
assistance sent,-1.1681
listed product,-1.1681
came life,-1.1681
characters looks,-1.1681
work supposed,-1.1681
another person,-1.1681
say something,-1.1681
whole point,-1.1681
possible use,-1.1681
day special,-1.1681
apple fan,-1.1681
spend little,-1.1681
filter came,-1.1681
generation kindle,-1.1681
like quick,-1.1681
clean litter,-1.1681
think reason,-1.1681
video footage,-1.1681
decided check,-1.1681
review original,-1.1681
get refund,-1.1681
waiting days,-1.1681
got pregnant,-1.1681
many women,-1.1681
wished would,-1.1681
made thin,-1.1681
attached two,-1.1681
device without,-1.1681
finally read,-1.1681
anniversary edition,-1.1681
may say,-1.1681
sick days,-1.1681
continues take,-1.1681
disappointed kids,-1.1681
gets beautiful,-1.1681
novel amazing,-1.1681
child able,-1.1681
back patio,-1.1681
later still,-1.1681
careful buying,-1.1681
product better,-1.1681
put different,-1.1681
times finally,-1.1681
used great,-1.1681
bad quality,-1.1681
saving grace,-1.1681
cards could,-1.1681
another location,-1.1681
last half,-1.1681
received pack,-1.1681
time today,-1.1681
paid product,-1.1681
yet work,-1.1681
placed one,-1.1681
also applies,-1.1681
day read,-1.1681
take daughter,-1.1681
mess like,-1.1681
anyone know,-1.1681
recommend unless,-1.1681
mean anything,-1.1681
ice even,-1.1681
thing used,-1.1681
first cup,-1.1681
horror films,-1.1681
issue got,-1.1681
way page,-1.1681
ingredients list,-1.1681
care told,-1.1681
really dropped,-1.1681
get money,-1.1469
amazon product,-1.1303
got sick,-1.1169
zero water,-1.1169
contact amazon,-1.0889
brita filters,-1.0889
anything want,-1.0889
book actually,-1.0889
motion zones,-1.0889
brown box,-1.0889
order received,-1.0889
reason bought,-1.0889
still nothing,-1.0889
quality amazon,-1.0889
get working,-1.0889
cards one,-1.0889
doorbell chime,-1.0889
received gift,-1.0889
cheap quality,-1.0889
please buy,-1.0889
much thinner,-1.0889
try buy,-1.0889
filter one,-1.0889
something right,-1.0889
generation device,-1.0889
get notification,-1.0889
guess get,-1.0889
kitchen aid,-1.0889
surface noise,-1.0889
get fixed,-1.0889
thing got,-1.0889
buying walmart,-1.0889
times keep,-1.059
even care,-1.059
previous generations,-1.0589
mesh router,-1.0589
product work,-1.0589
actually made,-1.0589
create account,-1.0589
amazon could,-1.05
use word,-1.0431
third time,-1.0431
hour two,-1.022
water wipes,-1.0155
send back,-1.0114
daughter watched,-0.992
another book,-0.992
wine food,-0.992
following year,-0.992
reviews seems,-0.992
could good,-0.992
phone done,-0.992
recently knew,-0.992
done nothing,-0.992
food use,-0.992
also difficult,-0.992
mins later,-0.992
got bed,-0.992
worse new,-0.992
barely work,-0.992
tried get,-0.992
point devices,-0.992
many parts,-0.992
mean time,-0.992
sure happened,-0.992
filters two,-0.992
two got,-0.992
upload speeds,-0.992
pick motion,-0.992
bronze nanoweb,-0.992
cats fish,-0.992
bought least,-0.992
devices one,-0.992
air last,-0.992
failed miserably,-0.992
however going,-0.992
kid still,-0.992
town would,-0.992
pad came,-0.992
never gonna,-0.992
none buy,-0.992
card work,-0.992
day honestly,-0.992
internet working,-0.992
still covered,-0.992
option purchased,-0.992
put pair,-0.992
anyway people,-0.992
ordered came,-0.992
hard drink,-0.992
damaged paint,-0.992
literally cried,-0.992
good must,-0.992
one song,-0.992
away know,-0.992
update month,-0.992
way inside,-0.992
devices also,-0.992
right probably,-0.992
much still,-0.992
purchase products,-0.992
yellow light,-0.992
would called,-0.992
add money,-0.992
metal bar,-0.992
user three,-0.992
access much,-0.992
amazon shopping,-0.992
show completed,-0.992
audio interfaces,-0.992
changing things,-0.992
send new,-0.992
brand also,-0.992
diapers wipes,-0.992
direct quote,-0.992
place screen,-0.992
one annoying,-0.992
instructions pretty,-0.992
open see,-0.992
best hardware,-0.992
lights blue,-0.992
overnight next,-0.992
por favor,-0.992
applications still,-0.992
also could,-0.992
ago problem,-0.992
buying even,-0.992
would google,-0.992
keep company,-0.992
someone love,-0.992
know turns,-0.992
work two,-0.992
character voices,-0.992
opened looked,-0.992
working parents,-0.992
close door,-0.992
pretty cheap,-0.992
ounces frozen,-0.992
research well,-0.992
makes bed,-0.992
box price,-0.992
back magazine,-0.992
could argue,-0.992
business owner,-0.992
cannot even,-0.992
less money,-0.992
etc collecting,-0.992
takes hours,-0.992
loved quality,-0.992
prepaid cards,-0.992
book received,-0.992
subscription cloud,-0.992
get well,-0.992
true get,-0.992
something hate,-0.992
price almost,-0.992
buying item,-0.992
option available,-0.992
real human,-0.992
view right,-0.992
float boat,-0.992
use today,-0.992
even purchased,-0.992
buying filters,-0.992
matter channel,-0.992
new diapers,-0.992
ones believe,-0.992
pulling old,-0.992
wanted read,-0.992
work went,-0.992
ordered cards,-0.992
amazon cancelled,-0.992
first dropped,-0.992
size sheet,-0.992
back package,-0.992
camera day,-0.992
away would,-0.992
flies spread,-0.992
always played,-0.992
nice would,-0.992
major reason,-0.992
sun hours,-0.992
reading something,-0.992
new pads,-0.992
worth first,-0.992
software activate,-0.992
first open,-0.992
could send,-0.992
original packaging,-0.992
captain america,-0.992
get removed,-0.992
barely made,-0.992
good addition,-0.992
router get,-0.992
next device,-0.992
network however,-0.992
tricking people,-0.992
upload download,-0.992
see finally,-0.992
steer clear,-0.992
enough write,-0.992
get defective,-0.992
made ones,-0.992
something great,-0.992
would share,-0.992
receive replacement,-0.992
instead reading,-0.992
talk like,-0.992
cancelled subscription,-0.992
judge distance,-0.992
say send,-0.992
bought replacement,-0.992
expected better,-0.992
dig deep,-0.992
three ordered,-0.992
photo comparing,-0.992
ordered secondly,-0.992
nest cameras,-0.992
also last,-0.992
doorbell signal,-0.992
new wipes,-0.992
island per,-0.992
used multiple,-0.992
local retailers,-0.992
return original,-0.992
concern say,-0.992
need upload,-0.992
seen amazon,-0.992
video taken,-0.992
wifi ssid,-0.992
last order,-0.992
horrible idea,-0.992
approved device,-0.992
quality ever,-0.992
michelle yeoh,-0.992
use button,-0.992
years noticed,-0.992
something bed,-0.992
many bags,-0.992
foot hose,-0.992
still showing,-0.992
box tried,-0.992
purchased blink,-0.992
stopped eating,-0.992
much harder,-0.992
colors screen,-0.992
ordered bag,-0.992
way author,-0.992
inside book,-0.992
wipes changing,-0.992
rest house,-0.992
party seller,-0.992
products sold,-0.992
hour gave,-0.992
older kids,-0.992
roku website,-0.992
diaper wipes,-0.992
never book,-0.992
camera recording,-0.992
outside wanted,-0.992
book better,-0.992
fire problem,-0.992
plastic tab,-0.992
wide mouthed,-0.992
sub save,-0.992
amazon still,-0.992
review well,-0.992
major gripe,-0.992
hours night,-0.992
use deck,-0.992
part able,-0.992
holding together,-0.992
day placed,-0.992
within month,-0.992
network like,-0.992
high temp,-0.992
issue also,-0.992
working years,-0.992
store app,-0.992
enjoyed first,-0.992
given good,-0.992
get clear,-0.992
story reading,-0.992
trap easy,-0.992
service nice,-0.992
one gonna,-0.992
board games,-0.992
printed paper,-0.992
seemed well,-0.992
would durable,-0.992
via blink,-0.992
return product,-0.992
thin tear,-0.992
information get,-0.992
wrote back,-0.992
early stages,-0.992
like couple,-0.992
tried like,-0.992
arrived opened,-0.992
speaker system,-0.992
home figured,-0.992
never symptoms,-0.992
caught every,-0.992
think made,-0.992
want support,-0.992
see better,-0.992
food safe,-0.992
new arrived,-0.992
far little,-0.992
give break,-0.992
exact model,-0.992
romance story,-0.992
outside return,-0.992
side add,-0.992
kids held,-0.992
morning drink,-0.992
made simple,-0.992
much useless,-0.992
chewer dog,-0.992
since make,-0.992
music something,-0.992
one cam,-0.992
used detect,-0.992
kids smell,-0.992
peets coffee,-0.992
fashioned way,-0.992
saying thank,-0.992
also somehow,-0.992
used think,-0.992
know issue,-0.992
neither one,-0.992
fix two,-0.992
supposed able,-0.992
pull away,-0.992
room window,-0.992
new user,-0.992
including commercial,-0.992
spent little,-0.992
forward watching,-0.992
device need,-0.992
said bought,-0.992
problem immediately,-0.992
like either,-0.992
sound front,-0.992
filter new,-0.992
bought wanted,-0.992
purchased dash,-0.992
cut scissors,-0.992
summer long,-0.992
experienced issues,-0.992
literally fall,-0.992
flavor first,-0.992
one magazine,-0.992
say hate,-0.992
separate attempts,-0.992
started noticing,-0.992
like add,-0.992
also since,-0.992
quite right,-0.992
crazy read,-0.992
box charge,-0.992
iphone see,-0.992
pcr positive,-0.992
pops broken,-0.992
back using,-0.992
information could,-0.992
wood flooring,-0.992
many duplicates,-0.992
said using,-0.992
run cat,-0.992
enough drive,-0.992
well cast,-0.992
install without,-0.992
like girl,-0.992
order update,-0.992
big dark,-0.992
wifi camera,-0.992
phone buy,-0.992
help told,-0.992
know hand,-0.992
blue ray,-0.992
however opened,-0.992
longer anything,-0.992
came packs,-0.992
wireless devices,-0.992
things changed,-0.992
thinner others,-0.992
back hips,-0.992
clear needed,-0.992
really thin,-0.992
type device,-0.992
even someone,-0.992
mail got,-0.992
cup come,-0.992
recently noticed,-0.992
mom one,-0.992
high fidelity,-0.992
thrillers mysteries,-0.992
tool help,-0.992
even single,-0.992
several devices,-0.992
sleep days,-0.992
stars possible,-0.992
water sitting,-0.992
two shows,-0.992
ring devices,-0.992
two sheets,-0.992
trying break,-0.992
sit see,-0.992
products amazon,-0.992
way explain,-0.992
tasted great,-0.992
charge battery,-0.992
received call,-0.992
love song,-0.992
get nothing,-0.992
cards different,-0.992
dead air,-0.992
know stay,-0.992
none really,-0.992
lower stomach,-0.992
activate windows,-0.992
well held,-0.992
looking replacement,-0.992
say amount,-0.992
put face,-0.992
say tell,-0.992
problem would,-0.992
filter takes,-0.992
started good,-0.992
lot smaller,-0.992
replacement option,-0.992
replacement amazon,-0.992
ago drinking,-0.992
would lost,-0.992
kindle seen,-0.992
would purchased,-0.992
safe eat,-0.992
felt bad,-0.992
exactly got,-0.992
going die,-0.992
runs great,-0.992
really tried,-0.992
english well,-0.992
son tried,-0.992
parts story,-0.992
coming apart,-0.992
would useful,-0.992
rather new,-0.992
signal levels,-0.992
norton products,-0.992
great fact,-0.992
drinking half,-0.992
get buying,-0.992
little money,-0.992
figure bet,-0.992
send replacement,-0.992
ago loved,-0.992
reviews true,-0.992
polar patterns,-0.992
water best,-0.992
family everyone,-0.992
sorely disappointed,-0.992
longer use,-0.992
another months,-0.992
caught fire,-0.992
curse words,-0.992
clothes first,-0.992
room find,-0.992
return threw,-0.992
new mexico,-0.992
year package,-0.992
expensive going,-0.992
cam ring,-0.992
price reviews,-0.992
full less,-0.992
means despite,-0.992
device look,-0.992
vita coco,-0.992
asks every,-0.992
screen makes,-0.992
going far,-0.992
thing listen,-0.992
response received,-0.992
long hold,-0.992
motion think,-0.992
captain marvel,-0.992
like fly,-0.992
kindle update,-0.992
body face,-0.992
product back,-0.992
call customer,-0.992
labels take,-0.992
device since,-0.992
hour later,-0.992
guy named,-0.992
good guy,-0.992
horrible smell,-0.992
hail mary,-0.992
issues started,-0.992
love past,-0.992
sure folks,-0.992
channing tatum,-0.992
stick worked,-0.992
ring right,-0.992
right opening,-0.992
really wonderful,-0.992
wyze cameras,-0.992
pay monthly,-0.992
pay additional,-0.992
seems pick,-0.992
thrilled see,-0.992
week something,-0.992
book incredibly,-0.992
gentle breeze,-0.992
nest doorbell,-0.992
water least,-0.992
away product,-0.992
got stick,-0.992
recognize commands,-0.992
milk spills,-0.992
become dangerous,-0.992
version never,-0.992
asked specific,-0.992
really seen,-0.992
car happy,-0.992
literally thing,-0.992
view images,-0.992
son bought,-0.992
used basic,-0.992
reviews watch,-0.992
wearing since,-0.992
second photo,-0.992
keep falling,-0.992
fine months,-0.992
took back,-0.992
size old,-0.992
device well,-0.992
defeats purpose,-0.992
set appointment,-0.992
walmart com,-0.992
disappointed using,-0.992
access points,-0.992
used purchase,-0.992
back packaging,-0.992
others stated,-0.992
reading many,-0.992
clean prep,-0.992
buy directly,-0.992
box another,-0.992
devices well,-0.992
noticed packaging,-0.992
destroyed camera,-0.992
seem disappear,-0.992
back right,-0.992
account sure,-0.992
filter four,-0.992
store back,-0.992
apple music,-0.992
video would,-0.992
want way,-0.992
review thing,-0.992
used indoors,-0.992
used older,-0.992
right room,-0.992
updating firmware,-0.992
able remember,-0.992
amazon wanted,-0.992
things worse,-0.992
favorite feature,-0.992
hoover writing,-0.992
day several,-0.992
questions done,-0.992
bad going,-0.992
feet look,-0.992
interesting author,-0.992
dry helped,-0.992
account account,-0.992
water times,-0.992
got food,-0.992
money must,-0.992
lightweight plastic,-0.992
propylene glycol,-0.992
hear unless,-0.992
always able,-0.992
month may,-0.992
fix must,-0.992
base unit,-0.992
tried worked,-0.992
device used,-0.992
left area,-0.992
turned amazon,-0.992
makes way,-0.992
series order,-0.992
foam would,-0.992
time pre,-0.992
exposed sun,-0.992
wine drink,-0.992
nest hub,-0.992
one gift,-0.992
installing setting,-0.992
search find,-0.992
edit case,-0.992
weekend get,-0.992
email got,-0.992
stop buying,-0.992
tested water,-0.992
bought thinking,-0.992
much thicker,-0.992
expensive diapers,-0.992
ring new,-0.992
without seeing,-0.992
going disappointed,-0.992
awhile get,-0.992
wipes would,-0.992
device simply,-0.992
upon delivery,-0.992
cannot connect,-0.992
reviews expecting,-0.992
worth trying,-0.992
son accidentally,-0.992
one options,-0.992
mixes well,-0.992
let rest,-0.992
return one,-0.992
box crushed,-0.992
watching found,-0.992
natural ingredients,-0.992
version use,-0.992
want fast,-0.992
ranger rick,-0.992
one quick,-0.992
product last,-0.992
never given,-0.992
got different,-0.992
except bit,-0.992
soap opera,-0.992
reviews deciding,-0.992
floor result,-0.992
god knows,-0.992
much get,-0.992
kind hearted,-0.992
instead need,-0.992
even borrowed,-0.992
amazon throw,-0.992
name would,-0.992
issue quite,-0.992
beginning use,-0.992
written author,-0.992
star ratings,-0.992
putting something,-0.992
bought something,-0.992
true used,-0.992
first hold,-0.992
used mechanical,-0.992
size lasted,-0.992
came apart,-0.992
georgia pacific,-0.992
first device,-0.992
lot pain,-0.992
two use,-0.992
ever encountered,-0.992
testing days,-0.992
story content,-0.992
way currently,-0.992
toddler home,-0.992
turn spigot,-0.992
would bring,-0.992
slow case,-0.992
top volume,-0.992
told friends,-0.992
days neither,-0.992
bright room,-0.992
hint water,-0.992
behind back,-0.992
like throw,-0.992
well believe,-0.992
like cute,-0.992
home cannot,-0.992
others pointed,-0.992
past day,-0.992
tablet use,-0.992
loud obnoxious,-0.992
make adjustments,-0.992
reach see,-0.992
find actual,-0.992
movie full,-0.992
case number,-0.992
really went,-0.992
lost item,-0.992
would cover,-0.992
spent almost,-0.992
coffee grounds,-0.992
started coming,-0.992
product delivered,-0.992
day immediately,-0.992
characters form,-0.992
ask set,-0.992
strong character,-0.992
one cameras,-0.992
protector still,-0.992
changed ingredients,-0.992
cards son,-0.992
buy better,-0.992
market test,-0.992
residue would,-0.992
stroller car,-0.992
content netflix,-0.992
new song,-0.992
think nice,-0.992
solution next,-0.992
every new,-0.992
else problem,-0.992
held attention,-0.992
make breakfast,-0.992
though started,-0.992
started come,-0.992
error codes,-0.992
something ever,-0.992
motion alerts,-0.992
change change,-0.992
total failure,-0.992
version norton,-0.992
coffee daily,-0.992
constant companion,-0.992
around minutes,-0.992
past old,-0.992
inside filter,-0.992
seriously every,-0.992
get super,-0.992
anyone could,-0.992
week still,-0.992
plot full,-0.992
went right,-0.992
day even,-0.992
feel real,-0.992
comfortable using,-0.992
plus side,-0.992
put fit,-0.992
started whole,-0.992
say certainty,-0.992
newly built,-0.992
play instead,-0.992
tons fun,-0.992
wait last,-0.992
friendly interface,-0.992
nothing would,-0.992
well disappointed,-0.992
thin layers,-0.992
entirely different,-0.992
video work,-0.992
type music,-0.992
real hydro,-0.992
turning lights,-0.992
books looking,-0.992
birthday cake,-0.992
horse said,-0.992
full screen,-0.992
romance sex,-0.992
one taking,-0.992
would worked,-0.992
beginning movie,-0.992
sitting ground,-0.992
series new,-0.992
version bought,-0.992
pay double,-0.992
extra step,-0.992
better product,-0.992
air many,-0.992
like seen,-0.992
diet water,-0.992
liked book,-0.992
old cotton,-0.992
actually way,-0.992
part little,-0.992
see complete,-0.992
amazon decided,-0.992
summer bought,-0.992
previous design,-0.992
music played,-0.992
often seem,-0.992
style music,-0.992
great walk,-0.992
taste right,-0.992
many one,-0.992
tell card,-0.992
worth risk,-0.992
great potential,-0.992
issue took,-0.992
amazon went,-0.992
support person,-0.992
stand around,-0.992
made usa,-0.992
early life,-0.992
anyone reads,-0.992
hollywood crap,-0.992
week update,-0.992
filter make,-0.992
one carefully,-0.992
audio works,-0.992
move next,-0.992
smelled good,-0.992
missed mark,-0.992
whoever makes,-0.992
nothing get,-0.992
names like,-0.992
money device,-0.992
bed sleeping,-0.992
real juice,-0.992
kindle little,-0.992
less days,-0.992
great except,-0.992
mail carrier,-0.992
purchased directly,-0.992
voice command,-0.992
work idea,-0.992
times amazon,-0.992
audio settings,-0.992
video playback,-0.992
home bought,-0.992
sorry purchased,-0.992
wine glass,-0.992
read free,-0.992
purchased without,-0.992
along sides,-0.992
trying keep,-0.992
brand model,-0.992
easily even,-0.992
follow review,-0.992
convenient apparently,-0.992
windows app,-0.992
issues good,-0.992
hockey pucks,-0.992
book reviews,-0.992
super bummed,-0.992
never give,-0.992
system stay,-0.992
completely eliminate,-0.992
